isbn,author,title,isbn_filename
9780226922843,Mary Quinlan-McGrath,Influences,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226922843.tif
9780226699080,Jack Quinan,Frank Lloyd Wright's Larkin Building,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226699080.tif
9780226701011,Kurt Raaflaub,The Discovery of Freedom in Ancient Greece,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226701011.tif
9780226701707,Paul Rabinow,The Accompaniment,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226701707.tif
9780226036915,Paul Rabinow,Demands of the Day,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226036915.tif
9780226703145,Paul Rabinow,Designing Human Practices,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226703145.tif
9780226701516,Paul Rabinow,French DNA,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226701516.tif
9780226701462,Paul Rabinow,Making PCR,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226701462.tif
9780226701479,Paul Rabinow,Making PCR,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226701479.tif
9780226150772,Jean Racine,Three Plays of Racine,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226150772.tif
9780226701981,Ronald M. Radano,Lying Up a Nation,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226701981.tif
9780226701967,Ronald M. Radano,New Musical Figurations,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226701967.tif
9780226702230,Gail Radford,Modern Housing for America,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226702230.tif
9780226702247,Gregory Radick,The Simian Tongue,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226702247.tif
9780226702278,Margaret Jane Radin,Reinterpreting Property,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226702278.tif
9780226041001,Alexandria Walton Radford,"Top Student, Top School?",C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226041001.tif
9780226702285,Margaret Jane Radin,Reinterpreting Property,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226702285.tif
9780226702360,Leonard B. Radinsky,The Evolution of Vertebrate Design,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226702360.tif
9780226702667,Rudolf A. Raff,The Shape of Life,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226702667.tif
9780226702650,Rudolf A. Raff,The Shape of Life,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226702650.tif
9780826331755,Melody Webb,A woman in the great outdoors,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780826331755.tif
9780226702704,Guy P. Raffa,The Complete Danteworlds,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226702704.tif
9780226702704,Guy P. Raffa,The Complete Danteworlds,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226702704.tif
9780226702704,Guy P. Raffa,The Complete Danteworlds,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226702704.tif
9780226702681,Guy P. Raffa,Danteworlds,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226702681.tif
9780226702711,Georg G. Raffelt,Stars as Laboratories for Fundamental Physics,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226702711.tif
9780226702728,Georg G. Raffelt,Stars as Laboratories for Fundamental Physics,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226702728.tif
9780226924007,Matthew Taylor Raffety,The Republic Afloat,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226924007.tif
9780226702773,Charles C. Ragin,Fuzzy-Set Social Science,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226702773.tif
9780226702759,Charles C. Ragin,Redesigning Social Inquiry,C:/Users/dsynan/Desktop/shelf.py/barcodeimages/9780226702759.tif
